attack,attacker,condition,experiment,mean_ms,p50_ms,p95_ms,p99_ms,queries,r_asr,trusted_rate
candidate_suppression,s0r0,clean,retrieval_attacks,1.5051303993095644,1.4957134990254417,1.6008798978873529,1.777390991337597,150,0.0,0.0
candidate_suppression,s0r0,attack,retrieval_attacks,1.5129413602213997,1.4962200002628379,1.6160278566530906,2.1705000658403097,150,0.0,0.0
ranking_manipulation,s0r0,clean,retrieval_attacks,1.4932566006124641,1.4964370056986809,1.5844831046706531,1.6315033999853767,150,0.0,0.0
ranking_manipulation,s0r0,attack,retrieval_attacks,1.5146756474860013,1.5003000080469064,1.6224515449721364,2.070946556486885,150,0.0,0.0
